threshold,precision,recall,f1,f2,n_alerts
0.05,0.3635382955771305,0.8618925831202046,0.511380880121396,0.6764351636791124,927
0.06525423728813559,0.3635382955771305,0.8618925831202046,0.511380880121396,0.6764351636791124,927
0.0805084745762712,0.8693333333333333,0.8337595907928389,0.8511749347258486,0.8406395029494875,375
0.09576271186440678,0.8716577540106952,0.8337595907928389,0.8522875816993464,0.841073269467076,374
0.11101694915254237,0.8716577540106952,0.8337595907928389,0.8522875816993464,0.841073269467076,374
0.12627118644067797,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.14152542372881355,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.15677966101694915,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.17203389830508475,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.18728813559322033,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.2025423728813559,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.21779661016949153,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.2330508474576271,0.8928571428571429,0.8312020460358056,0.8609271523178808,0.8428423217370462,364
0.24830508474576268,0.8953168044077136,0.8312020460358056,0.8620689655172413,0.8432797074817098,363
0.2635593220338983,0.8953168044077136,0.8312020460358056,0.8620689655172413,0.8432797074817098,363
0.2788135593220339,0.8953168044077136,0.8312020460358056,0.8620689655172413,0.8432797074817098,363
0.29406779661016946,0.8977900552486188,0.8312020460358056,0.8632138114209827,0.8437175474171825,362
0.30932203389830504,0.8977900552486188,0.8312020460358056,0.8632138114209827,0.8437175474171825,362
0.32457627118644067,0.8977900552486188,0.8312020460358056,0.8632138114209827,0.8437175474171825,362
0.33983050847457624,0.9150141643059491,0.8260869565217391,0.8682795698924731,0.842462178612429,353
0.3550847457627118,0.9150141643059491,0.8260869565217391,0.8682795698924731,0.842462178612429,353
0.37033898305084745,0.9176136363636364,0.8260869565217391,0.8694481830417228,0.8429018770398491,352
0.385593220338983,0.9176136363636364,0.8260869565217391,0.8694481830417228,0.8429018770398491,352
0.4008474576271186,0.9176136363636364,0.8260869565217391,0.8694481830417228,0.8429018770398491,352
0.4161016949152542,0.9176136363636364,0.8260869565217391,0.8694481830417228,0.8429018770398491,352
0.4313559322033898,0.9176136363636364,0.8260869565217391,0.8694481830417228,0.8429018770398491,352
0.4466101694915254,0.9176136363636364,0.8260869565217391,0.8694481830417228,0.8429018770398491,352
0.46186440677966095,0.9202279202279202,0.8260869565217391,0.8706199460916442,0.8433420346823416,351
0.4771186440677966,0.9202279202279202,0.8260869565217391,0.8706199460916442,0.8433420346823416,351
0.49237288135593216,0.9228571428571428,0.8260869565217391,0.8717948717948718,0.8437826522596792,350
0.5076271186440677,0.9228571428571428,0.8260869565217391,0.8717948717948718,0.8437826522596792,350
0.5228813559322034,0.9228571428571428,0.8260869565217391,0.8717948717948718,0.8437826522596792,350
0.538135593220339,0.9255014326647565,0.8260869565217391,0.8729729729729729,0.8442237304931401,349
0.5533898305084746,0.9255014326647565,0.8260869565217391,0.8729729729729729,0.8442237304931401,349
0.5686440677966101,0.9387755102040817,0.8235294117647058,0.8773841961852861,0.8442579950097878,343
0.5838983050847457,0.9387755102040817,0.8235294117647058,0.8773841961852861,0.8442579950097878,343
0.5991525423728814,0.9415204678362573,0.8235294117647058,0.878581173260573,0.844700942545686,342
0.614406779661017,0.9442815249266863,0.8235294117647058,0.8797814207650273,0.845144355118372,341
0.6296610169491526,0.9442815249266863,0.8235294117647058,0.8797814207650273,0.845144355118372,341
0.6449152542372881,0.9441176470588235,0.8209718670076727,0.8782489740082079,0.8429621830404036,340
0.6601694915254237,0.9441176470588235,0.8209718670076727,0.8782489740082079,0.8429621830404036,340
0.6754237288135593,0.9441176470588235,0.8209718670076727,0.8782489740082079,0.8429621830404036,340
0.690677966101695,0.9441176470588235,0.8209718670076727,0.8782489740082079,0.8429621830404036,340
0.7059322033898305,0.9469026548672567,0.8209718670076727,0.8794520547945206,0.8434051479334563,339
0.7211864406779661,0.9497041420118343,0.8209718670076727,0.8806584362139918,0.8438485786150447,338
0.7364406779661017,0.9497041420118343,0.8209718670076727,0.8806584362139918,0.8438485786150447,338
0.7516949152542373,0.9523809523809523,0.8184143222506394,0.8803301237964236,0.8421052613382826,336
0.7669491525423728,0.9523809523809523,0.8184143222506394,0.8803301237964236,0.8421052613382826,336
0.7822033898305085,0.9523809523809523,0.8184143222506394,0.8803301237964236,0.8421052613382826,336
0.7974576271186441,0.9523809523809523,0.8184143222506394,0.8803301237964236,0.8421052613382826,336
0.8127118644067797,0.9715189873417721,0.7851662404092071,0.8684582743988685,0.8164893599542213,316
0.8279661016949152,0.9715189873417721,0.7851662404092071,0.8684582743988685,0.8164893599542213,316
0.8432203389830508,0.9745222929936306,0.782608695652174,0.8680851063829788,0.8146964838824583,314
0.8584745762711864,0.9745222929936306,0.782608695652174,0.8680851063829788,0.8146964838824583,314
0.873728813559322,0.9745222929936306,0.782608695652174,0.8680851063829788,0.8146964838824583,314
0.8889830508474577,0.9752650176678446,0.7058823529411765,0.8189910979228486,0.7471575511664975,283
0.9042372881355932,0.9752650176678446,0.7058823529411765,0.8189910979228486,0.7471575511664975,283
0.9194915254237288,0.9752650176678446,0.7058823529411765,0.8189910979228486,0.7471575511664975,283
0.9347457627118644,0.9752650176678446,0.7058823529411765,0.8189910979228486,0.7471575511664975,283
0.95,0.9752650176678446,0.7058823529411765,0.8189910979228486,0.7471575511664975,283
